"Wykaz refundowanych leków, srodków spozywczych specjalnego przeznaczenia zywieniowego oraz wyrobów medycznych.",,,,,,,,,,,,,
1. Leki refundowane dostepne w aptece na recepte w ca_ym zakresie zarejestrowanych wskazan i przeznaczen lub we wskazaniu okreslonym stanem klinicznym,,,,,,,,,,,,,
lp,Substancja czynna,"Nazwa, posta_ i dawka leku, _rodka spo_ywczego specjalnego przeznaczenia _ywieniowego albo wyrobu medycznego",Zawarto__ opakowania,Kod EAN lub inny kod odpowiadaj_cy kodowi EAN,Termin wej_cia w _ycie decyzji,Okres obowi_zywania decyzji,Grupa limitowa,Urz_dowa cena zbytu,Cena detaliczna,Wysoko__ limitu finansowania,Zakres wskaza_ obj_tych refundacj_,Poziom odp_atno_ci,Wysoko__ dop_aty _wiadczeniobiorcy
1240,Isosorbidi mononitras,"Effox long 50, tabl. o przed_u_onym uwalnianiu, 50 mg",30 tabl. ,5909990368624,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",9.29,13.19,12.03,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,5.16
1241,Isosorbidi mononitras,"Effox long 75, tabl. o przed_u_onym uwalnianiu, 75 mg",30 tabl. ,5909990452118,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",12.88,18.05,18.05,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,6
1242,Isosorbidi mononitras,"Mono Mack Depot, tabl. o przed_u_onym uwalnianiu, 100 mg",14 tabl.,5909990669011,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",10.21,13.99,11.23,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,6.49
1243,Isosorbidi mononitras,"Mono Mack Depot, tabl. o przed_u_onym uwalnianiu, 100 mg",28 tabl.,5909990669028,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",19.17,25.44,22.46,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,10.45
1244,Isosorbidi mononitras,"Mononit 10, tabl. powl., 10 mg",60 tabl. (6 blist.po 10 szt.),5909990010516,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",4,5.75,4.81,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,4.14
1245,Isosorbidi mononitras,"Mononit 100 retard, tabl. powl. o przed_u_onym uwalnianiu, 100 mg",30 tabl. (3 blist.po 10 szt.),5909991011727,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",16.42,22.74,22.74,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,8
1246,Isosorbidi mononitras,"Mononit 20 , tabl. powl., 20 mg",60 tabl. (6 blist.po 10 szt.),5909990010622,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",7.33,10.56,9.63,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,4.13
1247,Isosorbidi mononitras,"Mononit 40, tabl. powl., 40 mg",30 tabl. (3 blist.po 10 szt.),5909990010714,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",6.77,9.95,9.63,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.52
1248,Isosorbidi mononitras,"Mononit 60 retard, tabl. powl. o przed_u_onym uwalnianiu, 60 mg",30 tabl. (3 blist.po 10 szt.),5909991011529,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",11.44,15.94,14.44,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,6.3
1249,Isosorbidi mononitras,"Monosan, tabl. , 20 mg",30 tabl. (3 blist.po 10 szt.),5909991133511,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",2.75,4.42,4.42,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
1250,Isosorbidi mononitras,"Monosan, tabl. , 20 mg",50 tabl. (5 blist.po 10 szt.),5909991133528,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",4.46,7.11,7.11,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
1251,Isosorbidi mononitras,"Monosan, tabl. , 40 mg",30 tabl. (3 blist.po 10 szt.),5909991133610,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",5.89,9,9,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
1252,Isosorbidi mononitras,"Monosan, tabl. , 40 mg",50 tabl. (5 blist.po 10 szt.),5909991133627,2012-01-01,2 lata,"34.1, Leki rozszerzajace naczynia krwiono_ne - organiczne azotany - dwuazotan i monoazotan izosorbidu do podawania doustnego - sta_e postacie farmaceutyczne",10.7,15.4,15.4,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,5.33
1253,Itraconazolum,"Itragen, kaps. twarde, 100 mg",28 kaps.,5909990617463,2012-01-01,2 lata,"110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - sta_e postacie farmaceutyczne",92.88,111.97,98.94,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,62.5
1254,Itraconazolum,"Orungal, kaps., 100 mg",4 kaps.,5909990004317,2012-01-01,2 lata,"110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - sta_e postacie farmaceutyczne",13.28,18.05,14.13,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,10.99
1255,Itraconazolum,"Orungal, kaps. , 100 mg",28 kaps.,5909990004331,2012-01-01,2 lata,"110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - sta_e postacie farmaceutyczne",85.32,103.88,98.94,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,54.41
1256,Itraconazolum,"Trioxal, kaps., 100 mg",4 kaps.,5909991053819,2012-01-01,2 lata,"110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - sta_e postacie farmaceutyczne",14.9,19.79,14.13,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,12.73
1257,Itraconazolum,"Trioxal, kaps., 100 mg",28 kaps. (4 blist.po 7 szt.),5909991053826,2012-01-01,2 lata,"110.1, Leki przeciwgrzybicze do stosowania doustnego - pochodne triazolu - sta_e postacie farmaceutyczne",101.52,121.21,98.94,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,71.74
1258,Kalii chloridum,"KALIPOZ PROLONGATUM, tabl. o przed_u_onym uwalnianiu, 391 mg",30 tabl. (3 blist.po 10 szt.),5909990257515,2012-01-01,2 lata,"20.0, Produkty do doustnej suplementacji potasu",3.47,5.18,5.05,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.33
1259,Kalii chloridum,"KALIPOZ PROLONGATUM, tabl. o przed_u_onym uwalnianiu, 391 mg",60 tabl. (3 blist.po 20 szt.),5909990257539,2012-01-01,2 lata,"20.0, Produkty do doustnej suplementacji potasu",6.9,10.1,10.1,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,rycza_t,3.2
1260,Kalii citras + Kalii hydrocarbonas,"Kalium EFFERVESCENS BEZCUKROWY , granulat musuj_cy, 0,782 g/3g",20 sasz.,5909990269310,2012-01-01,2 lata,"20.0, Produkty do doustnej suplementacji potasu",17.66,20.37,5.05,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,16.84
1261,Kalii citras + Natrii citras + Acidum citricum,"CITROLYT, granulat do sporz_dzania roztworu doustnego, 14,5 + 46,4 + 39,1 g/100g",220 g,5909990210817,2012-01-01,2 lata,"74.0, Leki urologiczne zmieniajace pH moczu - cytryniany do sprz_dzania roztworu doustnego",42.8,54.87,54.87,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,16.46
1262,Ketoconazolum,"KETOCONAZOLE HASCO, tabl. , 200 mg",10 tabl.,5909991045418,2012-01-01,2 lata,"109.0, Leki przeciwgrzybicze do stosowania do ustnego - pochodne imidazolu - ketokonazol",6.42,9.43,9.43,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,4.72
1263,Ketoconazolum,"KETOKONAZOL POLFARMEX, tabl. , 200 mg",10 tabl. (blister),5909991042615,2012-01-01,2 lata,"109.0, Leki przeciwgrzybicze do stosowania do ustnego - pochodne imidazolu - ketokonazol",6.42,9.43,9.43,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,4.72
1264,Ketoconazolum,"KETOKONAZOL POLFARMEX, tabl. , 200 mg",20 tabl. (2 blist.po 10 szt.),5909991042639,2012-01-01,2 lata,"109.0, Leki przeciwgrzybicze do stosowania do ustnego - pochodne imidazolu - ketokonazol",13.85,19.07,18.86,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,9.64
1265,Ketoprofenum,"Bi-Profenid, tabl. o zmodyfikowanym uwalnianiu, 150 mg",20 tabl. (2 blist.po 10 szt.),5909990412112,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",10.29,14.69,14.69,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,7.35
1266,Ketoprofenum,"Febrofen, kaps. o przed_u_onym uwalnianiu, 200 mg",20 kaps. (2 blist.po 10 szt.),5909990413317,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",14.01,19.38,19.38,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,9.69
1267,Ketoprofenum,"Ketonal, kaps. twarde, 50 mg",30 kaps.,5909990046492,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",4.86,7.34,7.34,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,3.67
1268,Ketoprofenum,"Ketonal, roztwór do wstrzykiwa_, 50 mg",10 amp.a 2ml,5909990659524,2012-01-01,2 lata,"141.3, Niesteroidowe leki przeciwzapalne do stosowania pozajelitowego",6.48,9.51,9.51,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,4.76
1269,Ketoprofenum,"Ketonal DUO, kaps. o przed_u_onym uwalnianiu, twarde, 150 mg",30 kaps. (3 blist.po 10 szt.),5909990064694,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",17.06,23.02,22.18,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,11.93
1270,Ketoprofenum,"Ketonal forte, tabl. powl., 100 mg",30 tabl.,5909990046485,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",11.39,15.86,14.79,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,8.47
1271,Ketoprofenum,"Ketores, kaps., 0,1 g",14 kaps.,5909990813315,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",7.88,10.45,6.9,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,7
1272,Ketoprofenum,"Ketores, kaps., 0,1 g",20 kaps.,5909990813322,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",11.23,14.69,9.86,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,9.76
1273,Ketoprofenum,"Ketores, kaps., 0,2 g",20 kaps.,5909990813421,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",13.93,19.3,19.3,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,9.65
1274,Ketoprofenum,"Profenid, czopki, 100 mg",10 czop.,5909990098514,2012-01-01,2 lata,"141.2, Niesteroidowe leki przeciwzapalne do stosowania doodbytniczego",7.94,9.2,2.48,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,7.96
1275,Ketoprofenum,"Profenid, tabl. powl., 100 mg",30 tabl. (2 blist.po 15 szt.),5909990760718,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",9.54,13.88,13.88,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,6.94
1276,Ketoprofenum,"Profenid, tabl. o przed_u_onym uwalnianiu, 200 mg",14 tabl. (1 blist.a 14 szt.),5909990790418,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",10.35,14.6,13.8,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,7.7
1277,Ketoprofenum,"Refastin, tabl. powl., 100 mg",30 tabl. (3 blist.po 10 szt.),5909990675593,2012-01-01,2 lata,"141.1, Niesteroidowe leki przeciwzapalne do stosowania doustnego - produkty jednosk_adnikowe i skojarzone z inhibitorami pompy protonowej - sta_e postacie postacie farmaceutyczne",11.34,15.81,14.79,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,50%,8.42
1278,Lacidipinum,"LACIPIL, tabl. powl., 6 mg",28 tabl. (4 blist.po 7 szt.),5909990625697,2012-01-01,2 lata,"41.0, Antagoni_ci wapnia - pochodne dihydropirydyny",25.92,30.91,12.28,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,22.31
1279,Lacidipinum,"LACIPIL, tabl. powl., 2 mg",28 tabl. (4 blist.po 7 szt.),5909990650521,2012-01-01,2 lata,"41.0, Antagoni_ci wapnia - pochodne dihydropirydyny",12.96,15.06,4.09,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,12.2
1280,Lacidipinum,"LACIPIL, tabl. powl., 4 mg",28 tabl. (4 blist.po 7 szt.),5909990650620,2012-01-01,2 lata,"41.0, Antagoni_ci wapnia - pochodne dihydropirydyny",18.9,22.51,8.19,We wszystkich zarejestrowanych wskazaniach na dzie_ wydania decyzji,30%,16.78
1281,Lamotriginum,"EPITRIGINE 100mg, tabl. powl., 100 mg",30 tabl. (3 blist.po 10 szt.),5909990334766,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",24.84,33.24,33.24,Padaczka oporna na leczenie,rycza_t,3.2
1282,Lamotriginum,"EPITRIGINE 100mg, tabl. do sporz_dzania zawiesiny doustnej, 100 mg",30 tabl. (3 blist.po 10 szt.),5909990334940,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",24.84,33.07,33.07,Padaczka oporna na leczenie,rycza_t,3.2
1283,Lamotriginum,"EPITRIGINE 25mg, tabl. powl., 25 mg",30 tabl. (3 blist.po 10 szt.),5909990334742,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",6.21,9.22,8.6,Padaczka oporna na leczenie,rycza_t,3.82
1284,Lamotriginum,"EPITRIGINE 25mg, tabl. do sporz_dzania zawiesiny doustnej, 25 mg",30 tabl. (3 blist.po 10 szt.),5909990334933,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",6.21,9.13,8.27,Padaczka oporna na leczenie,rycza_t,4.06
1285,Lamotriginum,"EPITRIGINE 50mg, tabl. powl., 50 mg",30 tabl. (3 blist.po 10 szt.),5909990334759,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",12.42,17.57,17.2,Padaczka oporna na leczenie,rycza_t,3.57
1286,Lamotriginum,"EPITRIGINE 50mg, tabl. do sporz_dzania zawiesiny doustnej, 50 mg",30 tabl. (3 blist.po 10 szt.),5909990334957,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",12.42,17.45,16.54,Padaczka oporna na leczenie,rycza_t,4.11
1287,Lamotriginum,"LAMITRIN, tabl. , 50 mg",30 tabl. (3 blist.po 10 szt.),5909990346219,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",22.68,28.54,17.2,"Choroba afektywna dwubiegunowa, Padaczka oporna na leczenie",rycza_t,14.54
1288,Lamotriginum,"LAMITRIN, tabl. , 100 mg",30 tabl. (3 blist.po 10 szt.),5909990346318,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",25.92,34.39,34.39,"Choroba afektywna dwubiegunowa, Padaczka oporna na leczenie",rycza_t,3.2
1289,Lamotriginum,"LAMITRIN, tabl. , 100 mg",60 tabl. (6 blist.po 10 szt.),5909990346325,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",52.92,66.67,66.67,"Choroba afektywna dwubiegunowa, Padaczka oporna na leczenie",rycza_t,3.2
1290,Lamotriginum,"LAMITRIN, tabl. , 25 mg",30 tabl. (3 blist.po 10 szt.),5909990354818,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",12.96,16.45,8.6,"Choroba afektywna dwubiegunowa, Padaczka oporna na leczenie",rycza_t,11.05
1291,Lamotriginum,"LAMITRIN S, tabl. do sporz_dzania zawiesiny/do rozgryzania i _ucia , 5 mg",30 tabl. (3 blist.po 10 szt.),5909990787111,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",7.41,8.46,1.65,Padaczka oporna na leczenie,rycza_t,8.46
1292,Lamotriginum,"LAMITRIN S, tabl. do sporz_dzania zawiesiny/do rozgryzania i _ucia , 25 mg",30 tabl. (3 blist.po 10 szt.),5909990787210,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",16.2,19.83,8.27,Padaczka oporna na leczenie,rycza_t,14.76
1293,Lamotriginum,"LAMITRIN S, tabl. do sporz_dzania zawiesiny/do rozgryzania i _ucia , 100 mg",30 tabl. (3 blist.po 10 szt.),5909990787319,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",64.8,75.82,33.07,Padaczka oporna na leczenie,rycza_t,45.95
1294,Lamotriginum,"LAMOTRIX, tabl. , 25 mg",30 tabl. ,5909991006419,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",12.42,15.87,8.6,Padaczka oporna na leczenie,rycza_t,10.47
1295,Lamotriginum,"LAMOTRIX, tabl. , 50 mg",30 tabl. ,5909991006518,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",23.11,29,17.14,Padaczka oporna na leczenie,rycza_t,15.06
1296,Lamotriginum,"LAMOTRIX, tabl. , 100 mg",30 tabl. ,5909991006617,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",27,35.55,34.39,Padaczka oporna na leczenie,rycza_t,4.36
1297,Lamotriginum,"Lameptil S, tabl. do sporz_dzania zawiesiny doustnej, 0,025 g",30 tabl. (3 blist.po 10 szt.),5909990224661,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",8.37,11.45,8.27,Padaczka oporna na leczenie,rycza_t,6.38
1298,Lamotriginum,"Lameptil S, tabl. do sporz_dzania zawiesiny doustnej, 0,1 g",30 tabl. (3 blist.po 10 szt.),5909990225149,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",24.84,33.07,33.07,Padaczka oporna na leczenie,rycza_t,3.2
1299,Lamotriginum,"Lameptil S, tabl. do sporz_dzania zawiesiny doustnej, 0,05 g",30 tabl. (3 blist.po 10 szt.),5909990225170,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",16.2,21.49,16.54,Padaczka oporna na leczenie,rycza_t,8.15
1300,Lamotriginum,"Lamilept, tabl. , 100 mg",30 tabl. (3 blist.po 10 szt.),5909990038480,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",26,34.47,34.39,Padaczka oporna na leczenie,rycza_t,3.28
1301,Lamotriginum,"Lamilept, tabl. , 50 mg",30 tabl. (3 blist.po 10 szt.),5909990038565,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",18.36,23.92,17.2,Padaczka oporna na leczenie,rycza_t,9.92
1302,Lamotriginum,"Lamilept, tabl. , 25 mg",30 tabl. (3 blist.po 10 szt.),5909990038701,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",8.96,12.17,8.6,Padaczka oporna na leczenie,rycza_t,6.77
1303,Lamotriginum,"Lamozor, tabl. do sporz_dzania zawiesiny doustnej, 25 mg",5 blistrów po 10szt.,5909990057382,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",14.04,18.74,13.78,Padaczka oporna na leczenie,rycza_t,8.16
1304,Lamotriginum,"Lamozor, tabl. do sporz_dzania zawiesiny doustnej, 100 mg",5 blistrów po 10szt.,5909990057566,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",43.2,55.15,55.12,Padaczka oporna na leczenie,rycza_t,3.23
1305,Lamotriginum,"Lamozor, tabl. do sporz_dzania zawiesiny doustnej, 50 mg",5 blistrów po 10szt.,5909990057597,2012-01-01,2 lata,"163.2, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - p_ynne postacie farmaceutyczne",30.24,38.18,27.56,Padaczka oporna na leczenie,rycza_t,13.82
1306,Lamotriginum,"Plexxo 100, tabl. , 100 mg",30 tabl.,5909990972616,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",29.75,38.5,34.39,Padaczka oporna na leczenie,rycza_t,7.31
1307,Lamotriginum,"Plexxo 25, tabl. , 25 mg",30 tabl.,5909990972418,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",17.28,21.07,8.6,Padaczka oporna na leczenie,rycza_t,15.67
1308,Lamotriginum,"Plexxo 50, tabl. , 50 mg",30 tabl.,5909990972517,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",21.6,27.39,17.2,Padaczka oporna na leczenie,rycza_t,13.39
1309,Lamotriginum,"Symla 100, tabl. , 100 mg",30 tabl.,5909990045303,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",23.89,32.22,32.22,Padaczka oporna na leczenie,rycza_t,3.2
1310,Lamotriginum,"Symla 25, tabl. , 25  mg",30 tabl.,5909990045280,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",8.64,11.82,8.6,Padaczka oporna na leczenie,rycza_t,6.42
1311,Lamotriginum,"Symla 50, tabl. , 50 mg",30 tabl.,5909990045266,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",18.04,23.57,17.2,Padaczka oporna na leczenie,rycza_t,9.57
1312,Lamotriginum,"Trogine 200mg, tabl. , 200 mg",30 tabl. (3 blist.po 10 szt.),5909990079483,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",86,102.06,68.78,Padaczka oporna na leczenie,rycza_t,36.48
1313,Lamotriginum,"Trogine 25mg, tabl. , 25 mg",30 tabl. (3 blist.po 10 szt.),5909990079292,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",8.64,11.82,8.6,Padaczka oporna na leczenie,rycza_t,6.42
1314,Lamotriginum,"Trogine 50mg, tabl. , 50 mg",30 tabl. (3 blist.po 10 szt.),5909990079339,2012-01-01,2 lata,"163.1, Leki przeciwpadaczkowe do stosowania doustnego - lamotrygina - sta_e postacie farmaceutyczne",18.03,23.56,17.2,Padaczka oporna na leczenie,rycza_t,9.56
1315,Lanreotidum,"Somatuline Autogel , roztwór do wstrzykiwa_, 60 mg","1 amp.-strzyk. 0,3 ml",5909991094416,2012-01-01,2 lata,"79.0, Hormony przysadki i podwzgórza - inhibitory hormonu wzrostu",2703.73,2951.68,2459.9,Akromegalia,rycza_t,494.98
